collected 18 new signals | 0 clusters | 8 basket prices | 41.0s
collected 14 new signals | 0 clusters | 8 basket prices | 41.4s
collected 20 new signals | 0 clusters | 8 basket prices | 41.3s
collected 23 new signals | 0 clusters | 8 basket prices | 43.0s
collected 14 new signals | 0 clusters | 8 basket prices | 41.0s
collected 22 new signals | 0 clusters | 8 basket prices | 42.4s
collected 21 new signals | 0 clusters | 8 basket prices | 42.0s
collected 23 new signals | 0 clusters | 8 basket prices | 43.0s
collected 18 new signals | 0 clusters | 8 basket prices | 44.5s
collected 21 new signals | 0 clusters | 8 basket prices | 43.2s
collected 21 new signals | 0 clusters | 8 basket prices | 42.2s
collected 17 new signals | 1 clusters | 8 basket prices | 41.9s
collected 19 new signals | 0 clusters | 8 basket prices | 62.1s
collected 23 new signals | 0 clusters | 8 basket prices | 41.5s
collected 25 new signals | 1 clusters | 8 basket prices | 43.1s
collected 26 new signals | 0 clusters | 8 basket prices | 41.3s
collected 24 new signals | 0 clusters | 8 basket prices | 41.6s
collected 30 new signals | 0 clusters | 8 basket prices | 42.6s
collected 30 new signals | 2 clusters | 8 basket prices | 43.1s
collected 18 new signals | 0 clusters | 8 basket prices | 42.8s
collected 21 new signals | 0 clusters | 8 basket prices | 41.9s
collected 21 new signals | 0 clusters | 8 basket prices | 42.1s
collected 19 new signals | 1 clusters | 8 basket prices | 43.3s
collected 20 new signals | 0 clusters | 8 basket prices | 41.5s
collected 19 new signals | 1 clusters | 8 basket prices | 42.6s
collected 21 new signals | 0 clusters | 8 basket prices | 42.6s
collected 25 new signals | 2 clusters | 8 basket prices | 42.3s
collected 25 new signals | 0 clusters | 8 basket prices | 43.5s
collected 21 new signals | 0 clusters | 8 basket prices | 43.8s
collected 19 new signals | 1 clusters | 8 basket prices | 43.3s
collected 26 new signals | 0 clusters | 8 basket prices | 43.3s
collected 16 new signals | 0 clusters | 8 basket prices | 43.6s
collected 27 new signals | 2 clusters | 8 basket prices | 43.1s
collected 23 new signals | 1 clusters | 8 basket prices | 43.0s
collected 17 new signals | 0 clusters | 8 basket prices | 43.8s
collected 14 new signals | 0 clusters | 8 basket prices | 43.9s
collected 15 new signals | 0 clusters | 8 basket prices | 42.8s
collected 26 new signals | 0 clusters | 8 basket prices | 42.6s
collected 15 new signals | 0 clusters | 8 basket prices | 42.9s
collected 23 new signals | 0 clusters | 8 basket prices | 42.6s
collected 20 new signals | 0 clusters | 8 basket prices | 42.7s
collected 20 new signals | 1 clusters | 8 basket prices | 43.1s
collected 15 new signals | 0 clusters | 8 basket prices | 42.1s
collected 19 new signals | 0 clusters | 8 basket prices | 42.2s
collected 24 new signals | 0 clusters | 8 basket prices | 42.6s
collected 16 new signals | 1 clusters | 8 basket prices | 43.1s
collected 18 new signals | 0 clusters | 8 basket prices | 43.9s
collected 10 new signals | 0 clusters | 8 basket prices | 42.9s
collected 12 new signals | 0 clusters | 8 basket prices | 42.7s
collected 22 new signals | 0 clusters | 8 basket prices | 43.8s
collected 22 new signals | 1 clusters | 8 basket prices | 43.5s
collected 16 new signals | 1 clusters | 8 basket prices | 42.8s
collected 26 new signals | 0 clusters | 8 basket prices | 43.0s
collected 23 new signals | 1 clusters | 8 basket prices | 43.3s
collected 19 new signals | 0 clusters | 8 basket prices | 43.3s
collected 27 new signals | 2 clusters | 8 basket prices | 42.4s
collected 24 new signals | 0 clusters | 8 basket prices | 43.4s
collected 20 new signals | 0 clusters | 8 basket prices | 43.9s
collected 23 new signals | 1 clusters | 8 basket prices | 44.1s
collected 21 new signals | 1 clusters | 8 basket prices | 43.9s
collected 14 new signals | 0 clusters | 8 basket prices | 42.9s
collected 16 new signals | 0 clusters | 8 basket prices | 43.2s
collected 22 new signals | 0 clusters | 8 basket prices | 42.8s
collected 21 new signals | 0 clusters | 8 basket prices | 43.1s
collected 17 new signals | 0 clusters | 8 basket prices | 42.9s
collected 40 new signals | 0 clusters | 8 basket prices | 44.2s
collected 22 new signals | 0 clusters | 8 basket prices | 43.3s
collected 14 new signals | 0 clusters | 8 basket prices | 42.8s
collected 15 new signals | 0 clusters | 8 basket prices | 43.5s
collected 9 new signals | 0 clusters | 8 basket prices | 42.1s
collected 12 new signals | 0 clusters | 8 basket prices | 65.5s
collected 16 new signals | 0 clusters | 8 basket prices | 42.1s
collected 11 new signals | 0 clusters | 8 basket prices | 42.3s
collected 8 new signals | 0 clusters | 8 basket prices | 42.1s
collected 8 new signals | 0 clusters | 8 basket prices | 42.5s
collected 9 new signals | 0 clusters | 8 basket prices | 42.5s
collected 15 new signals | 0 clusters | 8 basket prices | 41.7s
collected 17 new signals | 0 clusters | 8 basket prices | 41.4s
collected 17 new signals | 0 clusters | 8 basket prices | 42.3s
collected 20 new signals | 0 clusters | 8 basket prices | 42.0s
collected 18 new signals | 1 clusters | 8 basket prices | 42.8s
collected 19 new signals | 1 clusters | 8 basket prices | 43.0s
collected 17 new signals | 0 clusters | 8 basket prices | 47.5s
collected 30 new signals | 0 clusters | 8 basket prices | 44.0s
collected 17 new signals | 0 clusters | 8 basket prices | 42.8s
collected 28 new signals | 1 clusters | 8 basket prices | 41.9s
collected 30 new signals | 2 clusters | 8 basket prices | 42.1s
collected 18 new signals | 0 clusters | 8 basket prices | 42.1s
collected 26 new signals | 1 clusters | 8 basket prices | 42.1s
collected 43 new signals | 1 clusters | 8 basket prices | 42.7s
